OCRE,Side,Legend
ric.2.tr.409,obverse,IMP NERVA CAES TRAIAN AVG GERM P M
ric.2.tr.409,reverse,COS III P P CLEMENTIA AVG S C
ric.2.tr.410,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.410,reverse,TR POT COS III P P S C
ric.2.tr.411,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.411,reverse,TR POT COS III P P S C
ric.2.tr.412,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.412,reverse,TR POT COS III P P S C
ric.2.tr.413,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.413,reverse,TR POT COS III P P S C
ric.2.tr.414,obverse,IMP NERVA CAES TRAIAN AVG GERM P M
ric.2.tr.414,reverse,TR POT COS III P P S C
ric.2.tr.415,obverse,IMP NERVA CAES TRAIAN AVG GERM P M
ric.2.tr.415,reverse,TR POT COS III P P S C
ric.2.tr.416,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.416,reverse,TR POT COS III P P S C
ric.2.tr.417,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.417,reverse,TR POT COS III P P S C
ric.2.tr.418,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.418,reverse,TR POT COS III P P S C
ric.2.tr.419,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.419,reverse,TR POT COS III P P S C
ric.2.tr.420,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.420,reverse,TR POT COS III P P S C
ric.2.tr.421,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.421,reverse,S P Q R OB CIV SER
ric.2.tr.422,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.422,reverse,COS III DES IIII P P S C
ric.2.tr.423,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P
ric.2.tr.423,reverse,COS III DES IIII P P S C
ric.2.tr.424_sestertius,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P
ric.2.tr.424_sestertius,reverse,COS III DES IIII P P S C
ric.2.tr.424_as,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P
ric.2.tr.424_as,reverse,COS III DES IIII P P S C
ric.2.tr.425,obverse,IMP CAES NERVA TRAIAN AVG GERM P M TR P
ric.2.tr.425,reverse,COS III DES IIII P P S C
ric.2.tr.426,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.426,reverse,TR POT COS III P P S C
ric.2.tr.427,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.427,reverse,TR POT COS III P P S C
ric.2.tr.428,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.428,reverse,TR POT COS III P P S C
ric.2.tr.429,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.429,reverse,TR POT COS III P P S C
ric.2.tr.430,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.430,reverse,TR POT COS III P P S C
ric.2.tr.431,obverse,IMP CAES NERVA TRAIAN AVG GERM P M
ric.2.tr.431,reverse,TR POT COS III P P S C
